location_id,time,rain_sum,weather_code,temperature_2m_max,wind_speed_10m_max,precipitation_sum,daylight_duration,temperature_2m_min,wind_gusts_10m_max,et0_fao_evapotranspiration,showers_sum,wind_direction_10m_dominant,location_id_effettivo,time,weather_code_effettivo,rain_sum_effettivo,temperature_2m_max_effettivo,temperature_2m_min_effettivo,wind_speed_10m_max_effettivo,et0_fao_evapotranspiration_effettivo,precipitation_sum_effettivo,daylight_duration_effettivo,wind_gusts_10m_max_effettivo,wind_direction_10m_dominant_effettivo,showers_sum_effettivo
0,2025-03-14,18.30,63,14.2,9.8,18.90,42648.09,10.1,23.4,1.23,0.20,27,0,2025-03-14,63,15.80,13.9,10.1,9.8,1.22,16.10,42648.09,23.4,41,0.10
0,2025-03-15,2.60,80,17.4,20.1,3.00,42836.52,10.2,47.9,1.57,0.40,96,0,2025-03-15,96,21.80,14.9,10.7,17.3,0.96,24.00,42836.52,38.5,52,2.10
0,2025-03-16,0.00,45,15.1,10.0,0.00,43025.27,5.6,22.0,2.31,0.00,238,0,2025-03-16,45,0.00,16.0,7.2,20.3,2.77,0.00,43025.27,43.2,260,0.00
0,2025-03-17,10.30,61,11.9,19.5,10.40,43214.22,5.5,37.1,1.34,0.00,69,0,2025-03-17,80,0.00,16.1,3.9,19.6,2.77,0.00,43214.22,43.2,90,0.00
0,2025-03-18,0.60,61,7.8,20.6,0.80,43403.24,0.5,39.6,2.08,0.00,67,0,2025-03-18,61,0.10,10.0,3.2,16.8,2.66,0.10,43403.24,37.1,91,0.00
0,2025-03-19,0.00,1,8.8,10.7,0.00,43592.22,-1.2,20.9,2.08,0.00,341,0,2025-03-19,1,0.00,11.7,-0.4,9.4,2.43,0.00,43592.22,21.2,125,0.00
0,2025-03-20,0.00,2,11.3,8.2,0.00,43781.05,-1.1,17.3,2.32,0.00,179,0,2025-03-20,45,0.00,15.2,0.8,8.5,2.63,0.00,43781.05,19.4,89,0.00
1,2025-03-14,5.30,80,19.0,23.2,9.10,42725.87,13.5,59.0,1.98,3.60,162,1,2025-03-14,80,5.30,19.9,13.5,23.2,2.07,8.40,42725.87,59.0,162,2.90
1,2025-03-15,0.10,95,18.6,8.4,4.80,42896.92,13.2,29.9,1.88,4.60,200,1,2025-03-15,95,0.40,21.2,13.0,11.3,2.22,7.10,42896.92,28.1,208,6.70
1,2025-03-16,0.00,95,15.5,16.6,2.00,43068.26,9.4,41.4,2.66,2.00,229,1,2025-03-16,80,0.00,14.8,8.8,18.3,2.34,0.40,43068.26,44.3,222,0.40
1,2025-03-17,0.00,3,15.8,7.6,0.00,43239.78,7.0,20.2,2.64,0.00,7,1,2025-03-17,45,0.00,14.7,4.3,7.7,1.99,0.00,43239.78,19.1,288,0.00
1,2025-03-18,0.00,3,15.9,13.2,0.00,43411.37,6.6,32.0,2.55,0.00,23,1,2025-03-18,45,0.00,15.9,6.2,13.1,3.06,0.00,43411.37,33.1,10,0.00
1,2025-03-19,0.00,1,13.6,15.5,0.00,43582.93,3.0,35.6,3.22,0.00,35,1,2025-03-19,2,0.00,15.1,4.0,9.4,2.70,0.00,43582.93,23.8,350,0.00
1,2025-03-20,0.00,1,15.0,6.5,0.00,43754.34,0.7,15.8,2.89,0.00,2,1,2025-03-20,2,0.00,16.3,3.5,9.2,2.67,0.00,43754.34,23.8,170,0.00
2,2025-03-14,0.00,3,25.3,14.6,0.00,42786.85,10.3,34.9,4.44,0.00,208,2,2025-03-14,3,0.00,24.0,10.3,19.7,4.40,0.00,42786.85,47.5,219,0.00
2,2025-03-15,0.00,3,25.8,21.7,0.00,42944.48,17.3,49.7,4.67,0.00,238,2,2025-03-15,3,0.00,25.3,17.9,25.0,4.88,0.00,42944.48,55.1,252,0.00
2,2025-03-16,0.00,3,18.2,27.8,0.00,43102.37,10.8,56.9,4.00,0.00,268,2,2025-03-16,3,0.00,18.4,10.8,26.8,4.32,0.00,43102.37,53.6,268,0.00
2,2025-03-17,0.00,3,15.8,24.4,0.00,43260.44,8.9,48.2,3.55,0.00,270,2,2025-03-17,3,0.00,15.1,9.7,30.8,3.74,0.00,43260.44,62.3,269,0.00
2,2025-03-18,32.50,63,9.1,11.0,32.80,43418.58,6.3,25.9,0.54,0.30,71,2,2025-03-18,80,0.60,10.4,5.5,21.9,1.95,1.50,43418.58,42.5,1,0.90
2,2025-03-19,5.60,80,8.2,20.2,6.30,43576.68,5.4,38.2,1.65,0.70,360,2,2025-03-19,2,0.00,9.5,4.5,14.5,2.60,0.00,43576.68,31.3,352,0.00
2,2025-03-20,0.00,80,10.3,15.6,1.40,43734.65,4.2,30.6,2.58,1.40,351,2,2025-03-20,2,0.00,11.8,3.2,11.3,2.62,0.00,43734.65,20.9,170,0.00
3,2025-03-14,4.90,80,12.5,10.2,5.60,42619.64,9.2,24.5,1.11,0.60,70,3,2025-03-14,80,6.10,12.0,9.1,15.2,0.89,6.70,42623.84,27.7,89,0.30
3,2025-03-15,25.60,80,12.2,17.2,27.60,42814.51,9.1,34.6,0.60,2.20,85,3,2025-03-15,80,12.20,12.0,9.6,14.4,0.60,14.00,42817.75,28.8,91,1.00
3,2025-03-16,0.00,80,13.5,15.6,0.30,43009.69,8.3,32.0,2.04,0.30,294,3,2025-03-16,80,0.20,13.4,7.5,16.9,1.85,0.50,43011.98,30.2,245,0.40
3,2025-03-17,5.10,80,13.4,26.4,7.80,43205.08,5.9,55.1,2.03,2.40,122,3,2025-03-17,3,0.00,15.8,4.6,19.2,2.60,0.00,43206.42,36.4,215,0.00
3,2025-03-18,0.00,3,7.0,17.8,0.00,43400.55,1.7,37.4,2.15,0.00,113,3,2025-03-18,3,0.00,9.1,5.0,22.8,2.06,0.00,43400.93,43.2,97,0.00
3,2025-03-19,0.00,2,8.9,4.9,0.00,43595.97,-1.0,11.5,2.13,0.00,282,3,2025-03-19,1,0.00,12.7,1.9,5.5,2.42,0.00,43595.41,13.0,221,0.00
3,2025-03-20,0.00,3,11.6,6.9,0.00,43791.23,-1.1,15.8,2.24,0.00,287,3,2025-03-20,3,0.00,15.1,2.0,7.2,2.53,0.00,43789.72,14.8,245,0.00
4,2025-03-14,7.80,80,12.7,14.1,7.80,42635.74,9.6,27.4,1.03,0.00,104,4,2025-03-14,80,8.90,12.7,9.6,14.1,0.99,8.90,42635.74,27.4,103,0.00
4,2025-03-15,10.30,61,13.3,19.8,11.40,42826.96,9.8,40.3,0.87,1.00,102,4,2025-03-15,80,5.20,12.7,10.0,16.6,0.70,6.50,42826.96,32.8,101,0.70
4,2025-03-16,0.00,45,14.6,9.1,0.00,43018.50,7.3,19.8,2.45,0.00,237,4,2025-03-16,80,0.20,14.7,6.9,19.8,2.58,0.20,43018.50,40.0,231,0.00
4,2025-03-17,2.60,61,13.8,24.9,3.00,43210.24,5.9,48.6,2.07,0.00,97,4,2025-03-17,45,0.00,15.7,1.7,19.8,2.42,0.00,43210.24,38.2,94,0.00
4,2025-03-18,1.00,61,7.9,26.3,1.20,43402.05,1.7,50.0,2.56,0.00,98,4,2025-03-18,3,0.00,9.5,3.3,24.3,2.24,0.00,43402.05,51.5,102,0.00
4,2025-03-19,0.00,1,8.7,14.1,0.00,43593.82,-0.5,25.9,2.05,0.00,103,4,2025-03-19,45,0.00,11.9,-0.4,7.6,2.36,0.00,43593.82,16.2,121,0.00
4,2025-03-20,0.00,2,11.4,8.2,0.00,43785.45,-1.9,16.2,2.31,0.00,169,4,2025-03-20,45,0.00,14.7,0.6,5.9,2.48,0.00,43785.45,13.7,212,0.00
5,2025-03-14,5.40,80,16.0,15.9,8.70,42672.91,11.6,43.6,1.06,3.40,172,5,2025-03-14,80,4.40,16.0,11.6,15.9,1.06,7.40,42672.91,43.6,175,3.10
5,2025-03-15,2.40,80,17.2,10.5,2.60,42855.77,10.9,32.4,1.32,0.20,174,5,2025-03-15,80,0.20,16.3,11.4,13.9,1.17,1.90,42855.77,29.9,202,1.70
5,2025-03-16,0.70,80,13.9,20.5,0.70,43038.93,7.7,47.2,2.45,0.00,245,5,2025-03-16,61,0.10,14.1,8.2,22.0,2.60,0.10,43038.93,47.9,248,0.00
5,2025-03-17,1.10,61,13.6,9.0,1.10,43222.28,4.7,23.8,1.83,0.00,304,5,2025-03-17,2,0.00,14.9,5.1,7.6,2.53,0.00,43222.28,18.7,239,0.00
5,2025-03-18,0.40,3,9.3,25.2,0.40,43405.71,3.8,57.6,2.87,0.00,40,5,2025-03-18,3,0.00,11.0,4.7,18.7,3.13,0.00,43405.71,41.0,45,0.00
5,2025-03-19,0.00,1,9.9,23.8,0.00,43589.10,2.2,51.1,2.83,0.00,34,5,2025-03-19,0,0.00,14.2,1.0,5.9,2.67,0.00,43589.10,12.2,89,0.00
5,2025-03-20,0.00,3,13.9,5.1,0.00,43772.34,-1.6,10.8,2.50,0.00,115,5,2025-03-20,3,0.00,16.7,0.7,7.1,2.67,0.00,43772.34,16.9,153,0.00
6,2025-03-14,34.20,80,14.4,15.3,41.70,42670.05,11.7,36.0,0.47,6.60,121,6,2025-03-14,80,43.70,14.4,11.5,14.1,0.48,51.90,42670.05,36.0,111,7.30
6,2025-03-15,1.60,80,15.9,8.0,2.20,42853.55,11.0,19.4,1.12,0.50,174,6,2025-03-15,80,4.30,14.9,11.4,11.2,0.77,5.70,42853.55,31.7,107,1.30
6,2025-03-16,0.80,80,13.4,21.9,0.80,43037.35,7.1,49.3,2.30,0.00,246,6,2025-03-16,80,0.30,13.3,7.9,22.9,2.35,0.30,43037.35,51.5,254,0.00
6,2025-03-17,2.00,61,13.4,14.3,2.90,43221.35,5.0,34.2,1.97,0.00,15,6,2025-03-17,3,0.00,14.6,5.9,13.8,2.57,0.00,43221.35,32.0,33,0.00
6,2025-03-18,0.40,61,8.6,28.5,0.40,43405.42,3.9,63.7,2.99,0.00,41,6,2025-03-18,2,0.00,11.0,5.7,21.8,3.47,0.00,43405.42,53.3,56,0.00
6,2025-03-19,0.00,0,9.8,33.4,0.00,43589.45,2.8,60.5,3.02,0.00,44,6,2025-03-19,0,0.00,14.2,5.5,16.0,3.38,0.00,43589.45,38.9,51,0.00
6,2025-03-20,0.00,45,13.5,6.1,0.00,43773.34,-2.3,11.5,2.47,0.00,108,6,2025-03-20,3,0.00,16.0,3.5,7.0,2.78,0.00,43773.34,15.8,15,0.00
