location_id,time,weather_code,rain_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,et0_fao_evapotranspiration,precipitation_sum,daylight_duration,wind_gusts_10m_max,wind_direction_10m_dominant,showers_sum,location_id_effettivo,time,weather_code_effettivo,temperature_2m_max_effettivo,temperature_2m_min_effettivo,rain_sum_effettivo,precipitation_sum_effettivo,wind_speed_10m_max_effettivo,et0_fao_evapotranspiration_effettivo,daylight_duration_effettivo,wind_gusts_10m_max_effettivo,wind_direction_10m_dominant_effettivo
0,2025-03-21,3,0.00,12.9,5.2,7.4,1.40,0.00,43969.60,15.8,71,0.00,0,2025-03-21,3,12.9,5.2,0.00,0.00,6.6,1.42,43969.60,15.8,76
0,2025-03-22,80,8.00,12.4,9.2,14.8,0.71,8.10,44157.76,31.0,81,0.00,0,2025-03-22,80,13.3,8.8,1.60,1.70,12.2,0.83,44157.76,25.2,79
0,2025-03-23,80,0.20,16.8,9.5,9.7,1.99,0.60,44345.40,22.3,358,0.40,0,2025-03-23,80,17.2,8.1,1.70,1.90,12.7,2.02,44345.40,24.1,10
0,2025-03-24,80,0.00,16.9,6.3,6.4,2.46,0.60,44532.41,15.1,190,0.60,0,2025-03-24,80,18.0,8.9,0.00,0.00,8.0,2.43,44532.41,19.4,295
0,2025-03-25,95,17.70,16.3,6.4,18.9,1.86,19.50,44718.68,36.7,50,1.70,0,2025-03-25,80,16.0,10.8,21.30,22.30,8.5,1.69,44718.68,19.1,33
0,2025-03-26,95,14.70,14.5,9.3,17.4,1.07,20.10,44904.06,32.4,37,5.80,0,2025-03-26,80,18.1,6.5,0.40,0.70,12.0,2.07,44904.06,38.5,323
0,2025-03-27,3,0.00,18.1,8.8,8.4,2.60,0.00,45088.45,14.8,205,0.00,0,2025-03-27,80,16.4,10.1,2.50,2.60,10.8,1.73,45088.45,29.2,274
1,2025-03-21,3,0.00,18.0,7.2,12.7,3.02,0.00,43925.50,30.6,162,0.00,1,2025-03-21,3,17.5,7.2,0.00,0.00,10.9,2.82,43925.50,29.9,163
1,2025-03-22,80,6.80,17.0,9.6,12.1,1.10,9.30,44096.30,28.4,119,2.10,1,2025-03-22,80,15.9,9.5,7.70,10.50,12.0,0.90,44096.30,26.3,118
1,2025-03-23,80,0.20,17.1,12.7,11.8,1.26,1.50,44266.64,31.0,191,0.90,1,2025-03-23,61,19.7,12.4,0.50,1.10,11.5,2.08,44266.64,31.3,210
1,2025-03-24,80,1.40,16.6,12.4,5.1,1.25,3.40,44436.39,13.3,156,2.00,1,2025-03-24,80,19.0,12.1,0.00,0.50,10.5,2.25,44436.39,26.3,228
1,2025-03-25,95,1.20,16.1,10.8,13.6,0.85,12.60,44605.44,30.6,97,11.70,1,2025-03-25,3,18.6,9.5,0.00,0.00,16.9,2.86,44605.44,40.0,183
1,2025-03-26,80,0.00,16.3,10.7,10.9,2.00,2.70,44773.70,28.4,134,2.70,1,2025-03-26,80,19.6,7.8,0.00,1.70,9.4,2.87,44773.70,26.3,336
1,2025-03-27,3,0.00,17.6,7.3,23.0,3.22,0.00,44941.04,51.1,2,0.00,1,2025-03-27,61,15.8,9.0,1.40,1.40,19.8,2.00,44941.04,44.6,4
2,2025-03-21,3,0.00,15.8,4.7,13.4,3.15,0.00,43892.39,25.9,169,0.00,2,2025-03-21,2,15.6,4.7,0.00,0.00,13.7,3.12,43892.39,27.0,163
2,2025-03-22,3,0.00,15.8,8.3,8.9,2.58,0.00,44049.79,16.2,258,0.00,2,2025-03-22,3,14.6,8.1,0.00,0.30,8.4,2.14,44049.79,15.1,248
2,2025-03-23,3,0.00,24.5,11.0,13.3,3.36,0.00,44206.76,46.4,4,0.00,2,2025-03-23,3,20.6,10.5,0.00,0.00,13.4,2.59,44206.76,29.9,60
2,2025-03-24,80,4.10,17.1,14.1,6.8,1.37,5.20,44363.19,34.6,5,1.00,2,2025-03-24,95,21.2,12.3,0.00,1.60,10.1,1.56,44363.19,46.1,54
2,2025-03-25,80,2.50,17.4,11.9,7.2,1.81,3.90,44518.98,29.9,300,1.40,2,2025-03-25,80,15.1,12.1,0.00,1.70,8.6,0.90,44518.98,16.2,286
